oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
casa en venta en punta piedra ensenada,2757375.0,500.0,,,31.8667427,-116.5963713,easyaviso,2025-09-27 22:24:19.403530,5514.75
casa en venta en punta piedra ensenada,2132370.0,464.0,,,31.8725693328,-116.6667644684,easyaviso,2025-09-27 22:24:19.403530,4595.625
casa en venta punta piedra ensenada,882.36,,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,
vista al mar  464 m2  colina serenidad  pp,8200000.0,223.0,3.0,4.0,31.8679339,-116.6337374,easyaviso,2025-09-27 22:24:19.403530,36771.30044843049
valle de guadalupe,5700000.0,,,,31.8841069,-116.610004,easyaviso,2025-09-27 22:24:19.403530,
torre de condos yacht point en puerto salina,3350000.0,180.0,3.0,4.0,31.8886363,-116.5949354,easyaviso,2025-09-27 22:24:19.403530,18611.11111111111
se vende casa en comercial chapultepec zona norte,1000000.0,249.0,,,31.8767054,-116.6501246,easyaviso,2025-09-27 22:24:19.403530,4016.0642570281125
departamento con vista al mar en pacifica.,2518402.5,,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,
lomas de valle verde,12849.3675,220.0,,,31.9835258687,-116.7825521698,easyaviso,2025-09-27 22:24:19.403530,58.40621590909091
casa en chapultepec sin amueblar,17463375.0,100.0,,,31.8638605,-116.6280606,easyaviso,2025-09-27 22:24:19.403530,174633.75
venta cabanas en valle de guadalupe.,3950000.0,100.0,2.0,2.0,31.9153162091,-116.6901489236,easyaviso,2025-09-27 22:24:19.403530,39500.0
casa nueva en venta el campanario 1230000.00 preventa,1800000.0,,,2.0,31.7782955,-116.5897439,easyaviso,2025-09-27 22:24:19.403530,
se vende casa en esquina en loma dorada,2205900.0,480.0,,,32.092408,-116.8503918,easyaviso,2025-09-27 22:24:19.403530,4595.625
vista al oceano  comunidad cerrada la mision,3500000.0,136.0,3.0,3.0,31.8515566,-116.5671318,easyaviso,2025-09-27 22:24:19.403530,25735.29411764706
vizcaino la mision,6824000.0,262.0,2.0,3.0,31.8709456679,-116.6582677561,easyaviso,2025-09-27 22:24:19.403530,26045.801526717558
la mision etc. km 70,2922817.5,71.0,,2.0,32.0769334,-116.5745665,easyaviso,2025-09-27 22:24:19.403530,41166.44366197183
casa en venta en granjas el gallo,7353000.0,400.0,6.0,7.0,31.9677902,-116.6602628,easyaviso,2025-09-27 22:24:19.403530,18382.5
casa nueva en venta  privada altamar fracc. coronitas ensenada b.c.,9742725.0,450.0,3.0,4.0,31.8813676,-116.6220638,easyaviso,2025-09-27 22:24:19.403530,21650.5
venta  casa en valle de guadalupe,4136062.5,35.0,,,32.0979178087,-116.5999174118,easyaviso,2025-09-27 22:24:19.403530,118173.21428571429
venta de propiedad con 6 cabanas  valle de guadalupe,290000.0,193.79,,,31.8102728,-116.594897,easyaviso,2025-09-27 22:24:19.403530,1496.4652458847206
casa  empleados,10661850.0,893.59,,,31.965445,-116.646471,easyaviso,2025-09-27 22:24:19.403530,11931.478642330374
hotel boutique en valle guadalupe carretera a tkt 6500000.00,3679716.9375,355.0,,,32.0382750528,-116.6501292206,easyaviso,2025-09-27 22:24:19.403530,10365.399823943662
